PictureName,DateTime,Irradiance,IrradianceNotCompensated,BodyTemperature,RelativeHumidity,HumidityTemp,Pressure,PressureAvg,PressureTemp,PressureTempAvg,TiltAngle,TiltAngleAvg,FanSpeed,HeaterCurrent,FanCurrent,SunLatitude,SunLongitude,SunAzimuth,SunZenith
Alpnach_20180804_10-23-10_ExposureStack_Image_10_image.png,08/04/2018 12:23:13.571#9617,841.39,837.7,35.85,6.01,37.19,1077.71875,1077.71875,36.87890625,36.84375,0.06,0.1,8870,0.332,0.065,46.935881,8.27584,148.291317985036,56.9582120257081
Alpnach_20180804_10-21-10_ExposureStack_Image_10_image.png,08/04/2018 12:21:13.750#9476,840.14,836.42,35.92,6.02,37.25,1078.125,1077.84375,36.921875,36.90234375,0.49,0.11,8869,0.332,0.066,46.935881,8.27584,147.48283286829,56.7771243013406
Alpnach_20180804_11-44-00_ExposureStack_Image_10_image.png,08/04/2018 13:44:03.614#9485,871.31,867.2,36.42,6.13,37.76,1080.46875,1080.15625,37.4921875,37.4296875,0.17,0.1,8862,0.332,0.066,46.935881,8.27584,185.280158457112,60.1617932237783
Alpnach_20180804_11-00-40_ExposureStack_Image_10_image.png,08/04/2018 13:00:43.721#7627,881.17,877.06,36.33,6.12,37.67,1079.75,1079.78125,37.375,37.3359375,0.05,0.1,8864,0.33,0.065,46.935881,8.27584,164.643263996488,59.5160630338789
Alpnach_20180804_11-10-10_ExposureStack_Image_10_image.png,08/04/2018 13:10:13.821#302,886.7,882.46,36.54,6.18,37.91,1081.1875,1080.96875,37.6484375,37.5625,0.07,0.11,8865,0.333,0.065,46.935881,8.27584,169.081130402575,59.8829146817002
Alpnach_20180804_11-43-30_ExposureStack_Image_10_image.png,08/04/2018 13:43:33.652#8823,871.93,867.84,36.38,6.12,37.71,1080.09375,1080.03125,37.39453125,37.40625,0.13,0.12,8867,0.333,0.065,46.935881,8.27584,185.04068524199,60.1695595381453
Alpnach_20180804_11-50-10_ExposureStack_Image_10_image.png,08/04/2018 13:50:13.774#8334,859.05,854.83,36.75,6.22,38.1,1081.96875,1081.78125,37.83203125,37.78125,0.12,0.12,8860,0.333,0.065,46.935881,8.27584,188.224141130711,60.0368957463692
Alpnach_20180804_11-50-00_ExposureStack_Image_10_image.png,08/04/2018 13:50:03.609#3302,859.84,855.63,36.72,6.21,38.07,1081.75,1081.6875,37.85546875,37.75390625,0.11,0.12,8858,0.335,0.066,46.935881,8.27584,188.144545072337,60.0409919346171
Alpnach_20180804_12-38-30_ExposureStack_Image_10_image.png,08/04/2018 14:38:33.712#3382,851.98,847.38,37.57,6.31,38.93,1085.25,1085.0625,38.69140625,38.65625,0.24,0.12,8846,0.333,0.065,46.935881,8.27584,209.909113338477,57.3153248173134
Alpnach_20180804_12-18-30_ExposureStack_Image_10_image.png,08/04/2018 14:18:33.739#5466,855.82,851.5,37.0,6.18,38.3,1082.34375,1082.28125,38.0234375,38.03515625,0.24,0.12,8855,0.331,0.066,46.935881,8.27584,201.319102841921,58.795770304689
Alpnach_20180804_12-59-10_ExposureStack_Image_10_image.png,08/04/2018 14:59:13.886#8975,822.53,817.86,38.02,6.4,39.36,1087.375,1086.9375,39.1328125,39.0859375,0.19,0.14,8838,0.331,0.065,46.935881,8.27584,218.072988181682,55.3386935603582
Alpnach_20180804_12-40-00_ExposureStack_Image_10_image.png,08/04/2018 14:40:03.741#7416,850.12,845.44,37.75,6.36,39.09,1086.125,1085.90625,38.93359375,38.828125,0.09,0.12,8842,0.332,0.065,46.935881,8.27584,210.526847018723,57.1862291098028
Alpnach_20180804_12-08-50_ExposureStack_Image_10_image.png,08/04/2018 14:08:53.724#6535,860.64,856.29,37.0,6.21,38.3,1082.78125,1082.46875,38.0703125,37.9921875,0.09,0.12,8857,0.331,0.065,46.935881,8.27584,196.953257374197,59.338419051113
Alpnach_20180804_12-47-00_ExposureStack_Image_10_image.png,08/04/2018 14:47:03.730#4391,838.95,834.21,37.98,6.33,39.32,1086.6875,1086.5,39.1015625,39.078125,0.15,0.12,8840,0.332,0.065,46.935881,8.27584,213.357684339136,56.5530204663775
Alpnach_20180804_13-57-40_ExposureStack_Image_10_image.png,08/04/2018 15:57:43.664#3775,646.64,642.88,38.24,6.43,39.59,1087.71875,1087.65625,39.265625,39.34375,0.18,0.13,8835,0.332,0.065,46.935881,8.27584,237.283565852201,47.930919456223
Alpnach_20180804_13-29-40_ExposureStack_Image_10_image.png,08/04/2018 15:29:43.613#2457,787.39,782.88,38.11,6.41,39.46,1087.5,1087.28125,39.21875,39.20703125,0.15,0.12,8835,0.331,0.065,46.935881,8.27584,228.763736159926,51.7531963771225
Alpnach_20180804_13-38-00_ExposureStack_Image_10_image.png,08/04/2018 15:38:03.705#9021,724.44,720.46,37.72,6.33,39.08,1085.34375,1085.5625,38.8046875,38.84375,0.25,0.14,8840,0.333,0.065,46.935881,8.27584,231.419674333566,50.6610894251531
Alpnach_20180804_13-35-40_ExposureStack_Image_10_image.png,08/04/2018 15:35:43.687#4889,743.89,739.76,37.82,6.32,39.17,1085.9375,1085.90625,38.87890625,38.94921875,0.14,0.13,8838,0.332,0.065,46.935881,8.27584,230.686793209862,50.9711032342669
